종목명,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
삼성전자,"103,300","1,200",-1.15%,"2,859,749","296,718","6,114,986"
SK하이닉스,"533,500","18,500",-3.35%,"1,004,567","540,199","3,883,893"
LG에너지솔루션,"415,000","3,000",-0.72%,"48,999","20,486","971,100"
삼성바이오로직스,"1,669,000","15,000",+0.91%,"9,295","15,594","772,596"
현대차,"276,500","10,000",+3.75%,"420,852","115,675","566,155"
두산에너빌리티,"79,000",600,+0.77%,"1,867,852","149,322","506,043"
KB금융,"130,600","1,100",-0.84%,"190,554","24,819","498,190"
기아,"118,900",300,+0.25%,"273,903","32,508","464,201"
HD현대중공업,"522,000","12,000",-2.25%,"24,071","12,689","463,396"
한화에어로스페이스,"864,000","2,000",-0.23%,"40,423","35,003","445,508"
