테마번호,테마명,종목코드,종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,편입사유
543,의료AI,208370,셀바스헬스케어,5620,상한가1295,+29.94%,5620,0,3730576,19640,499108,"30년간 축적해 온 의료기기 및 시각보조공학 기술력을 기반으로 한 디지털 헬스케어 전문기업으로, 사업부문은 체성분분석기, 전동혈압계 등을 개발 및 생산하는 의료진단기기 사업부문 아큐닉(ACCUNIQ)과 시각장애인을 위한 점자정보단말기, 독서확대기 등을 개발 및 생산하는 보조공학기기 사업부문 힘스(HIMS)로 구분. 23년10월 인도네시아 최대 규모인 실로암병원(Siloam Hospital)과 AI(인공지능) 원격의료 사업화 협력을 위한 계약 체결."
543,의료AI,041920,메디아나,7880,상승1470,+22.93%,7870,7880,4599318,36076,777192,"의료기기 전문 제조업체로 환자감시장치와 심장충격기 등을 주요제품으로 보유. 모기업 셀바스AI, 관계기업 셀바스헬스케어와 협력을 통해 'AI 의료' 사업 준비중. 25년4월 셀바스AI·뷰노·제이엘케이와 의료 AI 산업의 전략적 협력 체계인 ‘MASA(Medical AI Strategic Alliance)’를 공식 출범."
543,의료AI,108860,셀바스AI,14870,상승2520,+20.40%,14860,14870,6506952,94714,93641,"인공지능(AI) 기반의필기 및 영상, 음성지능 응용소프트웨어 등의 개발 및 판매를 주요 사업으로 영위하는 업체. 주요 사업은 HCI(Human Computer Interaction), AI Digital Transformation 사업부문 등으로 구성되며, HCI 사업부 내 대표 제품으로는 AI 음성기록 솔루션 'Selvy Note', AI 의료 음성인식 'Selvy MediVoice', AI 오디오 콘텐츠 제작 서비스 'odiro', 무인 방송 안내 시스템 'Selvy Alrimi' 등이 있음. 22년8월 의료 인공지능 전문기업 제이엘케이와 의료 AI서비스 고도화를 위한 업무협약을 체결."
543,의료AI,388870,파로스아이바이오,10400,상승1510,+16.99%,10370,10400,1392740,13568,406355,AI 기반의 신약 개발 플랫폼 '케미버스(Chemiverse)'를 통해 희귀&난치성 질환 중심의 파이프라인을 구축.
543,의료AI,322510,제이엘케이,4330,상승255,+6.26%,4320,4330,362961,1530,95415,"인공지능을 활용한 의료 영상 및 임상 데이터 분석을 통하여 질병의 조기 진단, 판독 지원, 병변 검출, 예후 예측 등 다양한 의료 인공지능 솔루션을 제공하는 전문 기업. 동사의 뇌졸중 의료AI 솔루션(JBS-01K)은 18년8월 인공지능 의료기기 최초로 국내 식약처 3등급 허가를 획득. 23년10월 보건복지부가 JBS-O1K에 대한 건강보험 수가 적용 결정."
543,의료AI,393210,토마토시스템,5660,상승280,+5.20%,5660,5670,687486,3941,59547,"인공지능(AI) 기반의 테스트 자동화 및 품질 분석 솔루션 '엑스테스트' 출시 및 식품영양정보, 다이어트·건강정보, 레시피 등 다양한 정보를 제공하는 AI 기반 챗봇 서비스 '칼로리 봇' 출시."
543,의료AI,394800,쓰리빌리언,18730,상승900,+5.05%,18730,18740,2244635,41923,5313158,"희귀 유전질환 진단 검사 서비스 전문업체. 인공지능(AI)을 활용하여 인간 유전자(gene)의 총합인 유전체(genome)에서 발견되는 수많은 유전변이(genetic variant)의 병원성(pathogenicity, 질병을 일으킬 가능성)을 자동으로 판독하는 기술을 독자적으로 개발하고 해당 기술을 활용하여 희귀 유전질환 진단 검사 서비스를 제공."
543,의료AI,458870,씨어스테크놀로지,113300,상승4800,+4.42%,113300,113400,218265,24382,365981,"의료AI 솔루션 전문 업체로 웨어러블 기기와 AI를 결합한 심전도 분석 서비스 ‘mobiCARE’, 실시간 환자 원격 모니터링 서비스 ‘thynC’를 주력 제품으로 보유."
543,의료AI,223250,드림씨아이에스,5070,상승170,+3.47%,5070,5080,652539,3283,273277,AI를 활용한 빅데이터 기반 임상 성공 예측 솔루션 개발 준비중.
543,의료AI,384470,코어라인소프트,3765,상승110,+3.01%,3765,3775,108355,402,205553,CT 영상 데이터 전문 의료 AI 업체로 국가별 주요병원 판매 레퍼런스 확보하며 매출처 확대 중.
