테마번호,테마명,전일대비,최근3일등락률,상승,보합,하락,주도주1,주도주1코드,주도주2,주도주2코드,페이지
543,의료AI,+3.19%,-0.77%,19,1,10,셀바스헬스..,208370,메디아나,041920,1
98,음원/음반,+2.18%,-0.19%,11,1,3,다날,064260,NHN벅스,104200,1
576,퓨리오사AI,+1.87%,+0.46%,5,0,6,아이티센글..,124500,토마토시스..,393210,1
155,반도체 대표주(생산),+1.78%,+0.94%,2,0,1,SK하이닉..,000660,DB하이텍,000990,1
112,공기청정기,+1.75%,+1.97%,4,2,6,성호전자,043260,케이웨더,068100,1
540,비만치료제,+1.67%,+0.03%,19,0,16,나이벡,138610,일동제약,249420,1
174,치아 치료(임플란트 등),+1.65%,-0.81%,6,0,8,나이벡,138610,그래피,318060,1
62,철강 주요종목,+1.39%,+0.48%,4,0,7,세아베스틸..,001430,고려제강,002240,1
302,음성인식,+1.33%,-0.26%,5,0,6,셀바스AI,108860,현대에이치..,039010,1
270,모바일콘텐츠(스마트폰/태블릿PC),+1.25%,-0.43%,14,2,17,셀바스AI,108860,다날,064260,1
177,LPG(액화석유가스),+1.23%,-0.39%,4,0,5,대성산업,128820,S-Oil,010950,1
557,유리 기판,+1.15%,-0.14%,7,1,12,이노메트리,302430,제이앤티씨,204270,1
583,2025 하반기 신규상장,+1.13%,-0.41%,13,5,31,페스카로,0015S0,삼양컴텍,484590,1
493,mRNA(메신저 리보핵산),+1.07%,+0.17%,6,1,8,나이벡,138610,큐라티스,348080,1
378,건설기계,+1.05%,+0.25%,11,0,5,HD현대인..,042670,전진건설로..,079900,1
241,바이오시밀러(복제 바이오의약품),+1.00%,+0.13%,9,1,11,에이프로젠,007460,삼천당제약,000250,1
564,전기차 화재 방지(배터리 열폭주 등),+0.91%,+0.38%,13,0,16,이노메트리,302430,엠젠솔루션,032790,1
149,원격진료/비대면진료(U-Healthcare),+0.90%,+0.52%,12,1,7,제이엘케이,322510,나노엔텍,039860,1
582,스테이블코인,+0.90%,+0.37%,8,2,12,아이티센글..,124500,다날,064260,1
288,모바일솔루션(스마트폰),+0.87%,+0.07%,10,0,13,셀바스AI,108860,다날,064260,1
232,미디어(방송/신문),+0.83%,-0.38%,4,1,7,YTN,040300,콘텐트리중..,036420,1
529,AI 챗봇(챗GPT 등),+0.81%,-0.02%,14,0,16,셀바스AI,108860,모델솔루션,417970,1
175,의료기기,+0.78%,-0.28%,35,1,52,셀바스헬스..,208370,메디아나,041920,1
272,전자결제(전자화폐),+0.78%,-0.45%,4,0,9,다날,064260,헥토파이낸..,234340,1
575,지역화폐,+0.72%,-0.02%,4,0,1,쿠콘,294570,웹케시,053580,1
376,유전자 치료제/분석,+0.66%,+0.34%,18,1,21,바이젠셀,308080,앱클론,174900,1
204,비료,+0.60%,+0.24%,6,0,3,누보,332290,체시스,033250,1
448,코로나19(치료제/백신 개발 등),+0.60%,-0.73%,13,0,16,일동제약,249420,앱클론,174900,1
287,PCB(FPCB 등),+0.58%,+0.67%,13,0,17,자비스,254120,필옵틱스,161580,1
445,2차전지(장비),+0.58%,+0.37%,17,0,31,자비스,254120,이노메트리,302430,1
121,남북경협,+0.57%,+0.38%,12,2,15,재영솔루텍,049630,자화전자,033240,1
92,통신장비,+0.56%,+0.12%,22,1,21,RFHIC,218410,RF머트리..,327260,1
197,폐기물처리,+0.56%,+0.82%,1,0,4,와이엔텍,067900,서한,011370,1
531,STO(토큰증권 발행),+0.56%,-0.05%,8,0,17,아이티센글..,124500,다날,064260,1
48,영화,+0.55%,-0.43%,7,2,3,콘텐트리중..,036420,CJ EN..,035760,1
124,제대혈,+0.55%,-1.24%,3,0,2,강스템바이..,217730,차바이오텍,085660,1
90,수산,+0.53%,-1.15%,4,0,6,사조산업,007160,사조씨푸드,014710,1
