종목코드,종목명,시장,현재가,20일평균,상승률,거래량
005930,삼성전자,KOSPI,108000,102060,5.82,12222803
000270,기아,KOSPI,123400,116850,5.61,700984
000660,SK하이닉스,KOSPI,587000,555150,5.74,3985583
005935,삼성전자우,KOSPI,81000,76860,5.39,1146714
005380,현대차,KOSPI,302500,274125,10.35,1173271
028260,삼성물산,KOSPI,247500,230175,7.53,217246
402340,SK스퀘어,KOSPI,324000,300300,7.89,370050
012330,현대모비스,KOSPI,362000,315025,14.91,303696
267260,HD현대일렉트릭,KOSPI,849000,805350,5.42,79561
010130,고려아연,KOSPI,1480000,1248350,18.56,20094
009150,삼성전기,KOSPI,268500,241325,11.26,781774
003670,포스코퓨처엠,KOSPI,220500,205890,7.1,323772
247540,에코프로비엠,KOSDAQ GLOBAL,179500,154360,16.29,674670
086520,에코프로,KOSDAQ GLOBAL,116800,90850,28.56,5755687
066570,LG전자,KOSPI,94500,89645,5.42,538045
010120,LS ELECTRIC,KOSPI,501000,472275,6.08,107108
086280,현대글로비스,KOSPI,180800,167710,7.81,145914
298380,에이비엘바이오,KOSDAQ,203000,182345,11.33,1576353
007660,이수페타시스,KOSPI,147900,134235,10.18,1281144
277810,레인보우로보틱스,KOSDAQ,471500,409800,15.06,232443
180640,한진칼,KOSPI,110900,102950,7.72,67297
307950,현대오토에버,KOSPI,294500,218380,34.86,229149
064400,LG씨엔에스,KOSPI,64500,59270,8.82,970615
000720,현대건설,KOSPI,71800,65755,9.19,1339280
011070,LG이노텍,KOSPI,289000,252800,14.32,130142
950160,코오롱티슈진,KOSDAQ,82600,70125,17.79,562713
454910,두산로보틱스,KOSPI,83600,76235,9.66,406223
000250,삼천당제약,KOSDAQ,239500,220175,8.78,276245
450080,에코프로머티,KOSPI,64100,59670,7.42,485132
022100,포스코DX,KOSPI,27600,25892,6.59,592456
108490,로보티즈,KOSDAQ,284000,233740,21.5,459061
082740,한화엔진,KOSPI,45500,42982,5.86,731472
017800,현대엘리베이터,KOSPI,93000,85270,9.07,175682
439260,대한조선,KOSPI,75000,68415,9.63,759401
042670,HD현대인프라코어,KOSPI,15700,14500,8.27,1273400
071970,HD현대마린엔진,KOSPI,86700,81345,6.58,220304
009420,한올바이오파마,KOSPI,50100,47460,5.56,505408
009970,영원무역홀딩스,KOSPI,191900,176240,8.89,19451
237690,에스티팜,KOSDAQ GLOBAL,125000,110165,13.47,191869
204320,HL만도,KOSPI,55000,45835,20.0,856459
069620,대웅제약,KOSPI,187300,175485,6.73,49549
030530,원익홀딩스,KOSDAQ,30750,25805,19.16,6560142
004170,신세계,KOSPI,245500,229125,7.15,50773
039200,오스코텍,KOSDAQ,59600,56370,5.73,556362
005850,에스엘,KOSPI,43950,39462,11.37,138326
095340,ISC,KOSDAQ GLOBAL,107900,98630,9.4,133239
160190,하이젠알앤엠,KOSDAQ,63500,53635,18.39,186987
457190,이수스페셜티케미컬,KOSPI,66900,53657,24.68,802736
475830,오름테라퓨틱,KOSDAQ,85700,64470,32.93,321981
483650,달바글로벌,KOSPI,143500,131950,8.75,183111
098460,고영,KOSDAQ,26950,22523,19.65,4671889
032350,롯데관광개발,KOSPI,22050,20915,5.42,716204
065350,신성델타테크,KOSDAQ,63600,57165,11.26,204444
073240,금호타이어,KOSPI,6090,5687,7.08,375775
267270,HD현대건설기계,KOSPI,99800,93945,6.23,157835
005290,동진쎄미켐,KOSDAQ,38350,35802,7.12,490036
011210,현대위아,KOSPI,65800,60040,9.59,74892
290650,엘앤씨바이오,KOSDAQ,67200,58342,15.18,861917
395400,SK리츠,KOSPI,5760,5380,7.05,411760
445680,큐리옥스바이오시스템즈,KOSDAQ,93000,84555,9.99,77412
005070,코스모신소재,KOSPI,53500,50257,6.45,532804
437730,삼현,KOSDAQ,49750,35837,38.82,1068639
083650,비에이치아이,KOSDAQ,51800,46380,11.69,1045705
007340,DN오토모티브,KOSPI,27600,24635,12.04,117398
003570,SNT다이내믹스,KOSPI,46200,43732,5.64,198666
