종목코드,종목명,시장,현재가,20일평균,상승률,거래량,평균거래량,거래량비율,신규여부,최초발견일,발견횟수,연속발견횟수
012330,현대모비스,KOSPI,365500,318300,14.83,216313,254793,0.85,False,2025-12-11,11,1
028260,삼성물산,KOSPI,252000,231525,8.84,180415,366858,0.49,False,2025-12-11,11,1
005380,현대차,KOSPI,299000,275150,8.67,953621,918867,1.04,False,2025-12-11,11,1
267260,HD현대일렉트릭,KOSPI,853000,804700,6.0,107878,147710,0.73,False,2025-12-11,12,1
010130,고려아연,KOSPI,1516000,1264150,19.92,19966,30389,0.66,False,2025-12-11,11,1
000270,기아,KOSPI,124100,117155,5.93,549954,868859,0.63,False,2025-12-11,11,1
009150,삼성전기,KOSPI,274000,243950,12.32,490080,649181,0.75,False,2025-12-11,11,1
003670,포스코퓨처엠,KOSPI,218000,205765,5.95,221203,289475,0.76,False,2025-12-11,11,1
247540,에코프로비엠,KOSDAQ GLOBAL,173600,155040,11.97,477394,562005,0.85,False,2025-12-11,11,1
066570,LG전자,KOSPI,95800,89810,6.67,430513,699773,0.62,False,2025-12-11,12,1
005930,삼성전자,KOSPI,108500,102345,6.01,11178314,17391222,0.64,False,2025-12-11,11,1
010120,LS ELECTRIC,KOSPI,503000,473250,6.29,111193,197802,0.56,False,2025-12-11,11,1
086520,에코프로,KOSDAQ GLOBAL,113800,91805,23.96,3086661,4454265,0.69,False,2025-12-11,11,1
086280,현대글로비스,KOSPI,181300,168365,7.68,150433,152093,0.99,False,2025-12-11,11,1
298380,에이비엘바이오,KOSDAQ,197100,184025,7.11,631351,1603595,0.39,False,2025-12-11,11,1
007660,이수페타시스,KOSPI,149500,135740,10.14,1595428,2025716,0.79,False,2025-12-11,11,1
277810,레인보우로보틱스,KOSDAQ,471500,413300,14.08,217517,257822,0.84,False,2025-12-11,11,1
000720,현대건설,KOSPI,74900,66240,13.07,2625932,1827453,1.44,False,2025-12-11,11,1
307950,현대오토에버,KOSPI,294500,223575,31.72,248956,287528,0.87,False,2025-12-11,11,1
180640,한진칼,KOSPI,110800,103315,7.24,37891,81613,0.46,False,2025-12-11,11,1
011070,LG이노텍,KOSPI,298000,255475,16.65,127163,154714,0.82,False,2025-12-11,11,1
064400,LG씨엔에스,KOSPI,64600,59550,8.48,1192988,1121757,1.06,False,2025-12-11,11,1
950160,코오롱티슈진,KOSDAQ,81800,71640,14.18,269265,954748,0.28,False,2025-12-11,11,1
454910,두산로보틱스,KOSPI,83100,76335,8.86,392735,424081,0.93,False,2025-12-11,11,1
000250,삼천당제약,KOSDAQ,235500,220275,6.91,90744,130114,0.7,False,2025-12-11,11,1
108490,로보티즈,KOSDAQ,302000,237240,27.3,1481031,1013995,1.46,False,2025-12-11,11,1
005935,삼성전자우,KOSPI,81500,76970,5.89,1463140,2295020,0.64,False,2025-12-11,11,1
214150,클래시스,KOSDAQ GLOBAL,59600,55740,6.93,292441,240518,1.22,False,2025-12-11,10,1
052690,한전기술,KOSPI,101700,92965,9.4,433748,174670,2.48,False,2025-12-11,9,1
082740,한화엔진,KOSPI,45400,43112,5.31,711581,940789,0.76,False,2025-12-11,6,1
017800,현대엘리베이터,KOSPI,91800,85800,6.99,156411,316437,0.49,False,2025-12-11,9,1
042670,HD현대인프라코어,KOSPI,16640,14628,13.75,2445621,1119227,2.19,False,2025-12-11,12,1
226950,올릭스,KOSDAQ,142800,130555,9.38,1325065,862574,1.54,False,2025-12-11,3,1
071970,HD현대마린엔진,KOSPI,86700,81480,6.41,101679,256312,0.4,False,2025-12-11,8,1
