class,score,종목명,종목코드,시장,현재가,today_return,이유,mode
A,10,HD현대미포,010620,KOSPI,223000,2.23e+16,거래량 전일 3배↑; 장대양봉(몸통 70%+),monitoring
A,9,한화시스템,272210,KOSPI,51900,7.45,거래량 전일 3배↑,monitoring
A,7,KT,030200,KOSPI,53000,2.71,20일 고점 근접,monitoring
A,7,한국항공우주,047810,KOSPI,115800,4.32,VCP(변동성 축소 후 거래량 회복),monitoring
A,7,현대건설,000720,KOSPI,77300,3.07,20일 고점 근접,monitoring
A,7,LS,006260,KOSPI,194800,5.18,장대양봉(몸통 70%+),monitoring
A,7,한진칼,180640,KOSPI,118600,6.18,20일 고점 근접; 장대양봉(몸통 70%+),monitoring
A,6,LG,003550,KOSPI,83800,1.7,다중 조건 충족,monitoring
A,6,한국금융지주,071050,KOSPI,166400,4.65,장대양봉(몸통 70%+),monitoring
A,6,삼성카드,029780,KOSPI,58800,5.95,20일 고점 근접; 장대양봉(몸통 70%+),monitoring
A,6,현대차우,005385,KOSPI,207000,1.72,다중 조건 충족,monitoring
B,5,현대모비스,012330,KOSPI,376000,3.87,20일 고점 95% 근접; 저점 상승 추세; 당일 +2% 이상,monitoring
B,5,POSCO홀딩스,005490,KOSPI,317500,2.09,20일 고점 95% 근접; 저점 상승 추세; 당일 +2% 이상,monitoring
B,5,메리츠금융지주,138040,KOSPI,110600,1.56,저점 상승 추세,monitoring
B,5,키움증권,039490,KOSPI,287500,2.31,20일 고점 95% 근접; 저점 상승 추세; 당일 +2% 이상,monitoring
B,5,두산밥캣,241560,KOSPI,62050,2.73,20일 고점 95% 근접; 저점 상승 추세; 당일 +2% 이상,monitoring
B,5,JB금융지주,175330,KOSPI,25250,2.02,20일 고점 95% 근접; 저점 상승 추세; 당일 +2% 이상,monitoring
B,4,HD현대일렉트릭,267260,KOSPI,870000,1.75,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,삼성전자,005930,KOSPI,107850,0.7,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,기아,000270,KOSPI,125000,1.3,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,SK,034730,KOSPI,266000,0.38,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,삼성물산,028260,KOSPI,256500,0.79,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,현대로템,064350,KOSPI,185100,2.38,저점 상승 추세; 당일 +2% 이상,monitoring
B,4,두산에너빌리티,034020,KOSPI,79800,1.4,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,HMM,011200,KOSPI,20650,0.73,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,삼성중공업,010140,KOSPI,26200,0.58,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,한화에어로스페이스,012450,KOSPI,945000,2.16,저점 상승 추세; 당일 +2% 이상,monitoring
B,4,HD현대,267250,KOSPI,206500,2.23,저점 상승 추세; 당일 +2% 이상,monitoring
B,4,현대글로비스,086280,KOSPI,181900,0.44,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,기업은행,024110,KOSPI,21000,0.48,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,대한항공,003490,KOSPI,22450,0.67,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,레인보우로보틱스,277810,KOSDAQ,481000,1.91,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,맥쿼리인프라,088980,KOSPI,11670,0.34,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,BNK금융지주,138930,KOSPI,15380,0.2,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,두산로보틱스,454910,KOSPI,83800,0.96,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,LG씨엔에스,064400,KOSPI,67800,1.35,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,대한전선,001440,KOSPI,23150,3.58,저점 상승 추세; 당일 +2% 이상,monitoring
B,4,현대제철,004020,KOSPI,31200,0.97,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,금호석유화학,011780,KOSPI,122200,0.16,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,한화엔진,082740,KOSPI,45950,0.11,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,HD현대인프라코어,042670,KOSPI,16890,1.02,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,한국가스공사,036460,KOSPI,41700,0.72,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,KCC,002380,KOSPI,436500,1.28,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,HD현대마린엔진,071970,KOSPI,87700,1.15,20일 고점 95% 근접; 저점 상승 추세,monitoring
C,3,포스코퓨처엠,003670,KOSPI,219500,-1.79,20일선 위,initial
C,3,HD현대중공업,329180,KOSPI,566000,1.07,20일선 위,monitoring
C,3,삼성전자우,005935,KOSPI,82100,0.0,20일선 위,monitoring
C,3,현대차,005380,KOSPI,301000,0.67,20일선 위,initial
C,3,고려아연,010130,KOSPI,1514000,-2.76,20일선 위,monitoring
C,3,삼성전기,009150,KOSPI,270000,-0.74,20일선 위,initial
C,3,삼성생명,032830,KOSPI,154200,-0.52,20일선 위,initial
C,3,HD한국조선해양,009540,KOSPI,448000,0.0,20일선 위,monitoring
C,3,SK스퀘어,402340,KOSPI,312500,0.64,20일선 위,initial
C,3,우리금융지주,316140,KOSPI,27850,-0.54,20일선 위,initial
C,3,SK하이닉스,000660,KOSPI,571000,1.06,20일선 위,initial
C,3,하이브,352820,KOSPI,299000,0.67,20일선 위,initial
C,3,카카오뱅크,323410,KOSPI,21800,0.69,20일선 위,initial
C,3,미래에셋증권,006800,KOSPI,22225,2.42,20일선 위; 당일 +2% 이상,initial
C,3,삼성에스디에스,018260,KOSPI,174500,-0.57,20일선 위,initial
C,3,LS ELECTRIC,010120,KOSPI,511000,1.39,20일선 위,initial
C,3,현대차2우B,005387,KOSPI,209500,1.7,20일선 위,initial
C,3,삼성증권,016360,KOSPI,79900,1.14,20일선 위,monitoring
C,3,NH투자증권,005940,KOSPI,21050,0.96,20일선 위,initial
C,3,한화,000880,KOSPI,84500,1.81,20일선 위,monitoring
C,3,현대오토에버,307950,KOSPI,294000,-2.49,20일선 위,initial
C,3,LG이노텍,011070,KOSPI,294500,-0.67,20일선 위,initial
C,3,산일전기,062040,KOSPI,149300,-0.33,20일선 위,monitoring
C,3,한화솔루션,009830,KOSPI,27900,0.72,20일선 위,initial
C,3,포스코DX,022100,KOSPI,27550,0.73,20일선 위,initial
C,3,한전기술,052690,KOSPI,101900,-0.68,20일선 위,monitoring
C,3,풍산,103140,KOSPI,101850,-1.5,20일선 위,initial
C,3,대한조선,439260,KOSPI,75700,-0.79,20일선 위,initial
C,3,영원무역홀딩스,009970,KOSPI,197400,-3.47,20일선 위,monitoring
C,3,제일기획,030000,KOSPI,22850,-0.65,20일선 위,initial
C,3,미스토홀딩스,081660,KOSPI,43500,0.35,20일선 위,initial
C,3,신세계,004170,KOSPI,259500,-1.7,20일선 위,initial
C,2,한화오션,042660,KOSPI,114100,0.26,다중 조건 충족,initial
C,2,LG전자,066570,KOSPI,95500,-0.21,20일선 위,initial
C,2,LG에너지솔루션,373220,KOSPI,441500,-0.79,20일선 위,initial
C,2,삼성SDI,006400,KOSPI,307500,-0.81,20일선 위,initial
C,2,셀트리온,068270,KOSPI,185500,-1.17,20일선 위,initial
C,2,두산,000150,KOSPI,865000,0.93,다중 조건 충족,initial
C,2,효성중공업,298040,KOSPI,1988000,-1.14,20일선 위,initial
C,2,포스코인터내셔널,047050,KOSPI,53600,-0.19,다중 조건 충족,monitoring
C,2,크래프톤,259960,KOSPI,244500,0.82,다중 조건 충족,initial
C,2,에이피알,278470,KOSPI,252500,-1.56,20일선 위,initial
C,2,에이비엘바이오,298380,KOSDAQ,196800,0.25,20일선 위,initial
C,2,S-Oil,010950,KOSPI,81700,0.37,다중 조건 충족,initial
C,2,SK텔레콤,017670,KOSPI,53500,-0.37,다중 조건 충족,initial
C,2,HD현대마린솔루션,443060,KOSPI,202000,-0.74,20일선 위,monitoring
C,2,LIG넥스원,079550,KOSPI,381500,1.06,다중 조건 충족,initial
C,2,엘앤에프,066970,KOSPI,126400,-1.63,20일선 위,initial
C,2,한미약품,128940,KOSPI,452500,-0.11,20일선 위,initial
C,2,CJ,001040,KOSPI,182400,-1.14,20일선 위,initial
C,2,한국타이어앤테크놀로지,161390,KOSPI,60000,0.33,20일선 위,initial
C,2,HLB,028300,KOSDAQ,48000,-0.93,20일선 위,initial
C,2,삼천당제약,000250,KOSDAQ,237500,-1.25,20일선 위,initial
C,2,로보티즈,108490,KOSDAQ,300500,-0.99,20일선 위,monitoring
C,2,오리온,271560,KOSPI,103400,0.98,다중 조건 충족,initial
C,2,에코프로머티,450080,KOSPI,62000,-1.43,20일선 위,initial
C,2,강원랜드,035250,KOSPI,17830,0.0,20일선 위,initial
C,2,영원무역,111770,KOSPI,89900,-0.11,20일선 위,initial
C,2,동서,026960,KOSPI,28200,-3.09,20일선 위,monitoring
C,2,롯데지주,004990,KOSPI,28125,0.09,다중 조건 충족,initial
C,2,농심,004370,KOSPI,432500,0.12,다중 조건 충족,initial
C,2,SK아이이테크놀로지,361610,KOSPI,29800,-0.67,20일선 위,initial
