타입,종목코드,종목명,시장,현재가,상승률
monitoring,005935,삼성전자우,KOSPI,81400,5.76
monitoring,005380,현대차,KOSPI,295500,7.46
monitoring,028260,삼성물산,KOSPI,252000,8.84
monitoring,012330,현대모비스,KOSPI,360500,13.35
monitoring,267260,HD현대일렉트릭,KOSPI,846000,5.18
monitoring,010130,고려아연,KOSPI,1536000,21.41
monitoring,000810,삼성화재,KOSPI,630000,27.63
monitoring,009150,삼성전기,KOSPI,269500,10.58
monitoring,003670,포스코퓨처엠,KOSPI,222000,7.79
monitoring,247540,에코프로비엠,KOSDAQ GLOBAL,173800,12.09
monitoring,066570,LG전자,KOSPI,94700,5.51
monitoring,086520,에코프로,KOSDAQ GLOBAL,112800,22.94
monitoring,010120,LS ELECTRIC,KOSPI,497000,5.09
monitoring,086280,현대글로비스,KOSPI,182600,8.41
monitoring,298380,에이비엘바이오,KOSDAQ,196300,6.69
monitoring,007660,이수페타시스,KOSPI,148200,9.23
monitoring,277810,레인보우로보틱스,KOSDAQ,470000,13.74
monitoring,307950,현대오토에버,KOSPI,299000,33.6
monitoring,180640,한진칼,KOSPI,110600,7.06
monitoring,000720,현대건설,KOSPI,73600,11.22
monitoring,011070,LG이노텍,KOSPI,294500,15.35
monitoring,950160,코오롱티슈진,KOSDAQ,81500,13.79
monitoring,064400,LG씨엔에스,KOSPI,65400,9.75
monitoring,454910,두산로보틱스,KOSPI,83500,9.36
monitoring,000250,삼천당제약,KOSDAQ,237000,7.56
monitoring,108490,로보티즈,KOSDAQ,301500,27.1
monitoring,022100,포스코DX,KOSPI,27250,5.3
monitoring,214150,클래시스,KOSDAQ GLOBAL,59800,7.26
monitoring,052690,한전기술,KOSPI,101300,8.99
monitoring,017800,현대엘리베이터,KOSPI,91200,6.33
monitoring,042670,HD현대인프라코어,KOSPI,16430,12.4
monitoring,009970,영원무역홀딩스,KOSPI,204500,14.51
monitoring,039200,오스코텍,KOSDAQ,59900,5.55
monitoring,457190,이수스페셜티케미컬,KOSPI,63900,18.17
monitoring,112610,씨에스윈드,KOSPI,45150,7.19
monitoring,267270,HD현대건설기계,KOSPI,105600,11.72
monitoring,065350,신성델타테크,KOSDAQ,63600,10.46
monitoring,395400,SK리츠,KOSPI,5680,5.21
monitoring,445680,큐리옥스바이오시스템즈,KOSDAQ,95500,11.16
monitoring,083650,비에이치아이,KOSDAQ,52700,12.44
monitoring,077970,STX엔진,KOSPI,37050,11.94
monitoring,358570,지아이이노베이션,KOSDAQ,20350,9.59
monitoring,001430,세아베스틸지주,KOSPI,34450,20.83
monitoring,319400,현대무벡스,KOSDAQ,10280,9.64
monitoring,397030,에이프릴바이오,KOSDAQ,42250,6.54
monitoring,218410,RFHIC,KOSDAQ,31150,8.08
monitoring,090360,로보스타,KOSDAQ,77800,9.0
monitoring,389650,넥스트바이오메디컬,KOSDAQ,88300,10.33
monitoring,102940,코오롱생명과학,KOSDAQ,58100,16.39
monitoring,475150,SK이터닉스,KOSPI,20600,6.68
monitoring,372320,큐로셀,KOSDAQ,46250,10.11
monitoring,000650,천일고속,KOSPI,457500,107.24
monitoring,001060,JW중외제약,KOSPI,27400,5.91
monitoring,025320,시노펙스,KOSDAQ,6840,7.6
monitoring,383310,에코프로에이치엔,KOSDAQ,28150,7.99
monitoring,060280,큐렉소,KOSDAQ,13930,18.41
monitoring,056080,유진로봇,KOSDAQ,14840,21.49
monitoring,170900,동아에스티,KOSPI,57800,6.71
monitoring,009410,태영건설,KOSPI,1794,7.7
monitoring,029530,신도리코,KOSPI,51000,7.73
monitoring,215600,신라젠,KOSDAQ,3665,19.12
monitoring,053030,바이넥스,KOSDAQ,15420,6.68
monitoring,126340,비나텍,KOSDAQ,78000,22.92
monitoring,314930,바이오다인,KOSDAQ,16310,12.17
