종목코드,종목명,시장,class,score,현재가,today_return,mode,이유
329180,HD현대중공업,KOSPI,A,6,559000,-2.95,monitoring,거래량 전일 3배↑
010130,고려아연,KOSPI,A,6,1536000,2.26,monitoring,VCP(변동성 축소 후 거래량 회복)
000810,삼성화재,KOSPI,A,10,630000,27.14,monitoring,20일 고점 돌파; 장대양봉(몸통 70%+)
030200,KT,KOSPI,A,6,51300,-1.72,monitoring,거래량 전일 3배↑; VCP(변동성 축소 후 거래량 회복)
443060,HD현대마린솔루션,KOSPI,A,7,201000,0.6,monitoring,거래량 전일 3배↑; VCP(변동성 축소 후 거래량 회복)
047050,포스코인터내셔널,KOSPI,A,6,53600,-2.01,monitoring,거래량 전일 3배↑; VCP(변동성 축소 후 거래량 회복)
010620,HD현대미포,KOSPI,A,10,223000,2.23e+16,monitoring,거래량 전일 3배↑; 장대양봉(몸통 70%+)
029780,삼성카드,KOSPI,A,8,55500,3.16,monitoring,거래량 전일 3배↑
088980,맥쿼리인프라,KOSPI,A,7,11630,0.09,monitoring,거래량 전일 3배↑; VCP(변동성 축소 후 거래량 회복)
062040,산일전기,KOSPI,A,7,149000,-1.32,monitoring,거래량 전일 3배↑; VCP(변동성 축소 후 거래량 회복)
108490,로보티즈,KOSDAQ,A,7,301500,5.24,monitoring,거래량 전일 3배↑
052690,한전기술,KOSPI,A,10,101300,4.33,monitoring,거래량 전일 3배↑; 20일 고점 근접; 장대양봉(몸통 70%+)
002380,KCC,KOSPI,A,7,425000,-1.51,monitoring,거래량 전일 3배↑; VCP(변동성 축소 후 거래량 회복)
012750,에스원,KOSPI,A,8,76400,0.92,monitoring,거래량 전일 3배↑
042670,HD현대인프라코어,KOSPI,A,7,16430,3.66,monitoring,다중 조건 충족
068760,셀트리온제약,KOSDAQ,A,7,62700,0.48,initial,거래량 전일 3배↑; VCP(변동성 축소 후 거래량 회복)
009970,영원무역홀딩스,KOSPI,A,7,204500,4.87,initial,VCP(변동성 축소 후 거래량 회복)
103590,일진전기,KOSPI,A,8,56800,2.71,initial,거래량 전일 3배↑
009540,HD한국조선해양,KOSPI,B,4,445500,-0.67,initial,20일 고점 95% 근접; 저점 상승 추세
028260,삼성물산,KOSPI,B,4,252000,-1.18,initial,20일 고점 95% 근접; 저점 상승 추세
005930,삼성전자,KOSPI,B,4,107300,-1.74,initial,20일 고점 95% 근접; 저점 상승 추세
373220,LG에너지솔루션,KOSPI,B,5,446000,0.0,initial,거래량 2배↑; 저점 상승 추세
068270,셀트리온,KOSPI,B,4,186700,-0.32,initial,거래량 2배↑
005935,삼성전자우,KOSPI,B,4,81400,-0.25,initial,20일 고점 95% 근접; 저점 상승 추세
003670,포스코퓨처엠,KOSPI,B,4,222000,-1.33,initial,20일 고점 95% 근접; 저점 상승 추세
267260,HD현대일렉트릭,KOSPI,B,4,846000,-2.53,initial,20일 고점 95% 근접; 거래량 2배↑; 저점 상승 추세
011200,HMM,KOSPI,B,5,20400,0.74,initial,20일 고점 95% 근접; 저점 상승 추세
298040,효성중공업,KOSPI,B,5,1978000,-0.5,initial,거래량 2배↑; 저점 상승 추세
086280,현대글로비스,KOSPI,B,5,182600,0.27,initial,20일 고점 95% 근접; 거래량 2배↑; 저점 상승 추세
024110,기업은행,KOSPI,B,4,20650,-1.2,initial,20일 고점 95% 근접; 거래량 2배↑; 저점 상승 추세
000720,현대건설,KOSPI,B,5,73600,2.51,initial,거래량 2배↑; 저점 상승 추세; 당일 +2% 이상
003490,대한항공,KOSPI,B,4,22100,-1.34,initial,20일 고점 95% 근접; 저점 상승 추세
180640,한진칼,KOSPI,B,4,110600,-1.25,initial,20일 고점 95% 근접; 저점 상승 추세
005940,NH투자증권,KOSPI,B,4,20700,-1.19,initial,거래량 2배↑
307950,현대오토에버,KOSPI,B,5,299000,1.01,initial,20일 고점 95% 근접; 거래량 2배↑; 저점 상승 추세
032640,LG유플러스,KOSPI,B,4,14940,-2.35,initial,거래량 2배↑
064400,LG씨엔에스,KOSPI,B,5,65400,0.77,initial,20일 고점 95% 근접; 거래량 2배↑; 저점 상승 추세
011070,LG이노텍,KOSPI,B,4,294500,0.17,initial,20일 고점 95% 근접; 저점 상승 추세
128940,한미약품,KOSPI,B,5,450000,2.74,initial,거래량 2배↑; 당일 +2% 이상
241560,두산밥캣,KOSPI,B,4,59500,-0.34,initial,20일 고점 95% 근접; 저점 상승 추세
078930,GS,KOSPI,B,4,56100,-1.58,initial,거래량 2배↑
