code,name,market,first_detected,last_detected
329180,HD현대중공업,KOSPI,2025-12-11,2025-12-12
010130,고려아연,KOSPI,2025-12-11,2025-12-12
000810,삼성화재,KOSPI,2025-12-11,2025-12-11
030200,KT,KOSPI,2025-12-11,2025-12-12
047050,포스코인터내셔널,KOSPI,2025-12-11,2025-12-12
443060,HD현대마린솔루션,KOSPI,2025-12-11,2025-12-12
010620,HD현대미포,KOSPI,2025-12-11,2025-12-12
029780,삼성카드,KOSPI,2025-12-11,2025-12-12
088980,맥쿼리인프라,KOSPI,2025-12-11,2025-12-12
062040,산일전기,KOSPI,2025-12-11,2025-12-12
108490,로보티즈,KOSDAQ,2025-12-11,2025-12-12
002380,KCC,KOSPI,2025-12-11,2025-12-12
052690,한전기술,KOSPI,2025-12-11,2025-12-12
042670,HD현대인프라코어,KOSPI,2025-12-11,2025-12-12
012750,에스원,KOSPI,2025-12-11,2025-12-12
026960,동서,KOSPI,2025-12-11,2025-12-12
068760,셀트리온제약,KOSDAQ,2025-12-11,2025-12-12
009970,영원무역홀딩스,KOSPI,2025-12-11,2025-12-12
103590,일진전기,KOSPI,2025-12-11,2025-12-12
005930,삼성전자,KOSPI,2025-12-12,2025-12-12
005935,삼성전자우,KOSPI,2025-12-12,2025-12-12
028260,삼성물산,KOSPI,2025-12-12,2025-12-12
034020,두산에너빌리티,KOSPI,2025-12-12,2025-12-12
000270,기아,KOSPI,2025-12-12,2025-12-12
267260,HD현대일렉트릭,KOSPI,2025-12-12,2025-12-12
012450,한화에어로스페이스,KOSPI,2025-12-12,2025-12-12
012330,현대모비스,KOSPI,2025-12-12,2025-12-12
011200,HMM,KOSPI,2025-12-12,2025-12-12
064350,현대로템,KOSPI,2025-12-12,2025-12-12
005490,POSCO홀딩스,KOSPI,2025-12-12,2025-12-12
010140,삼성중공업,KOSPI,2025-12-12,2025-12-12
138040,메리츠금융지주,KOSPI,2025-12-12,2025-12-12
267250,HD현대,KOSPI,2025-12-12,2025-12-12
024110,기업은행,KOSPI,2025-12-12,2025-12-12
034730,SK,KOSPI,2025-12-12,2025-12-12
086280,현대글로비스,KOSPI,2025-12-12,2025-12-12
003550,LG,KOSPI,2025-12-12,2025-12-12
047810,한국항공우주,KOSPI,2025-12-12,2025-12-12
272210,한화시스템,KOSPI,2025-12-12,2025-12-12
071050,한국금융지주,KOSPI,2025-12-12,2025-12-12
277810,레인보우로보틱스,KOSDAQ,2025-12-12,2025-12-12
000720,현대건설,KOSPI,2025-12-12,2025-12-12
003490,대한항공,KOSPI,2025-12-12,2025-12-12
180640,한진칼,KOSPI,2025-12-12,2025-12-12
039490,키움증권,KOSPI,2025-12-12,2025-12-12
064400,LG씨엔에스,KOSPI,2025-12-12,2025-12-12
000880,한화,KOSPI,2025-12-12,2025-12-12
006260,LS,KOSPI,2025-12-12,2025-12-12
241560,두산밥캣,KOSPI,2025-12-12,2025-12-12
454910,두산로보틱스,KOSPI,2025-12-12,2025-12-12
138930,BNK금융지주,KOSPI,2025-12-12,2025-12-12
175330,JB금융지주,KOSPI,2025-12-12,2025-12-12
005385,현대차우,KOSPI,2025-12-12,2025-12-12
004020,현대제철,KOSPI,2025-12-12,2025-12-12
001440,대한전선,KOSPI,2025-12-12,2025-12-12
082740,한화엔진,KOSPI,2025-12-12,2025-12-12
036460,한국가스공사,KOSPI,2025-12-12,2025-12-12
017800,현대엘리베이터,KOSPI,2025-12-12,2025-12-12
011780,금호석유화학,KOSPI,2025-12-12,2025-12-12
071970,HD현대마린엔진,KOSPI,2025-12-12,2025-12-12
009540,HD한국조선해양,KOSPI,2025-12-12,2025-12-12
016360,삼성증권,KOSPI,2025-12-12,2025-12-12
088350,한화생명,KOSPI,2025-12-12,2025-12-12
003690,코리안리,KOSPI,2025-12-12,2025-12-12
462870,시프트업,KOSPI,2025-12-12,2025-12-12
009420,한올바이오파마,KOSPI,2025-12-12,2025-12-12
097230,HJ중공업,KOSPI,2025-12-12,2025-12-12
475830,오름테라퓨틱,KOSDAQ,2025-12-12,2025-12-12
160190,하이젠알앤엠,KOSDAQ,2025-12-12,2025-12-12
023530,롯데쇼핑,KOSPI,2025-12-12,2025-12-12
006280,녹십자,KOSPI,2025-12-12,2025-12-12
006040,동원산업,KOSPI,2025-12-12,2025-12-12
483650,달바글로벌,KOSPI,2025-12-12,2025-12-12
083650,비에이치아이,KOSDAQ,2025-12-12,2025-12-12
023590,다우기술,KOSPI,2025-12-12,2025-12-12
011210,현대위아,KOSPI,2025-12-12,2025-12-12
058610,에스피지,KOSDAQ,2025-12-12,2025-12-12
060370,LS마린솔루션,KOSDAQ,2025-12-12,2025-12-12
006360,GS건설,KOSPI,2025-12-12,2025-12-12
375500,DL이앤씨,KOSPI,2025-12-12,2025-12-12
445680,큐리옥스바이오시스템즈,KOSDAQ,2025-12-12,2025-12-12
007340,DN오토모티브,KOSPI,2025-12-12,2025-12-12
047040,대우건설,KOSPI,2025-12-12,2025-12-12
437730,삼현,KOSDAQ,2025-12-12,2025-12-12
017960,한국카본,KOSPI,2025-12-12,2025-12-12
003570,SNT다이내믹스,KOSPI,2025-12-12,2025-12-12
077970,STX엔진,KOSPI,2025-12-12,2025-12-12
001430,세아베스틸지주,KOSPI,2025-12-12,2025-12-12
466100,클로봇,KOSDAQ,2025-12-12,2025-12-12
003540,대신증권,KOSPI,2025-12-12,2025-12-12
00680K,미래에셋증권2우B,KOSPI,2025-12-12,2025-12-12
249420,일동제약,KOSPI,2025-12-12,2025-12-12
000500,가온전선,KOSPI,2025-12-12,2025-12-12
001800,오리온홀딩스,KOSPI,2025-12-12,2025-12-12
071320,지역난방공사,KOSPI,2025-12-12,2025-12-12
100090,SK오션플랜트,KOSPI,2025-12-12,2025-12-12
319400,현대무벡스,KOSDAQ,2025-12-12,2025-12-12
317450,명인제약,KOSPI,2025-12-12,2025-12-12
424870,이뮨온시아,KOSDAQ,2025-12-12,2025-12-12
389470,인벤티지랩,KOSDAQ,2025-12-12,2025-12-12
388720,유일로보틱스,KOSDAQ,2025-12-12,2025-12-12
030610,교보증권,KOSPI,2025-12-12,2025-12-12
229640,LS에코에너지,KOSPI,2025-12-12,2025-12-12
012630,HDC,KOSPI,2025-12-12,2025-12-12
082640,동양생명,KOSPI,2025-12-12,2025-12-12
397030,에이프릴바이오,KOSDAQ,2025-12-12,2025-12-12
031980,피에스케이홀딩스,KOSDAQ,2025-12-12,2025-12-12
